,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
132,2011-01-01,7535265,7048219.0,6553761.0,6411046.0,6381639.0,6701285.0,6555513.166666667,6126058.583333333,248831.34284368975,3607183.6363636362,1158484.520212527,2109035.0,7048219.0
133,2011-02-01,6173927,7535265.0,6501875.0,6399210.0,5469477.0,7028453.0,6742883.0,6222194.083333333,455627.7761335768,3636718.082706767,1203300.7814965264,2109035.0,7535265.0
134,2011-03-01,7156850,6173927.0,7048219.0,6418968.0,5833840.0,6919137.0,6705335.833333333,6280898.25,497015.97812967264,3655652.4776119404,1218641.2818319744,2109035.0,7535265.0
135,2011-04-01,7136280,7156850.0,7535265.0,6553761.0,5582811.0,6955347.333333333,6828316.166666667,6391149.083333333,503237.1101166885,3681587.274074074,1250922.3330313824,2109035.0,7535265.0
136,2011-05-01,6901713,7136280.0,6173927.0,6501875.0,5424264.0,6822352.333333333,6925402.666666667,6520604.833333333,495811.3345210016,3706989.4264705884,1281004.3535316,2109035.0,7535265.0
137,2011-06-01,6623006,6901713.0,7156850.0,7048219.0,5487593.0,7064947.666666667,6992042.333333333,6643725.583333333,452478.6938699953,3730308.576642336,1305145.363864268,2109035.0,7535265.0
138,2011-07-01,7985229,6623006.0,7136280.0,7535265.0,6411046.0,6886999.666666667,6921173.5,6738343.333333333,474675.15002276027,3751270.152173913,1323482.643420394,2109035.0,7535265.0
139,2011-08-01,7516754,7985229.0,6901713.0,6173927.0,6399210.0,7169982.666666667,6996167.5,6869525.25,607938.0933512312,3781730.287769784,1366704.2360064285,2109035.0,7985229.0
140,2011-09-01,7344350,7516754.0,6623006.0,7156850.0,6418968.0,7374996.333333333,7219972.0,6962653.916666667,477984.05110592477,3808409.0285714287,1397887.0516751055,2109035.0,7985229.0
141,2011-10-01,7335382,7344350.0,7985229.0,7136280.0,6553761.0,7615444.333333333,7251222.0,7039769.083333333,479159.6582681303,3833486.624113475,1424360.6754820938,2109035.0,7985229.0
142,2011-11-01,7204116,7335382.0,7516754.0,6901713.0,6501875.0,7398828.666666667,7284405.666666667,7104904.166666667,476494.3228189589,3858147.8591549294,1449405.2996620585,2109035.0,7985229.0
143,2011-12-01,7838674,7204116.0,7344350.0,6623006.0,7048219.0,7294616.0,7334806.166666667,7163424.25,442715.6399868865,3881546.237762238,1471146.4090381165,2109035.0,7985229.0
144,2012-01-01,8291969,7838674.0,7335382.0,7985229.0,7535265.0,7459390.666666667,7537417.5,7229295.5,310129.2928040383,3909026.2916666665,1502624.0626013218,2109035.0,7985229.0
145,2012-02-01,6947636,8291969.0,7204116.0,7516754.0,6173927.0,7778253.0,7588540.833333333,7292354.166666667,408419.4281933707,3939253.4827586208,1541000.7801782987,2109035.0,8291969.0
146,2012-03-01,7385953,6947636.0,7838674.0,7344350.0,7156850.0,7692759.666666667,7493687.833333333,7356829.916666667,486961.03600288124,3959858.842465753,1555729.758501417,2109035.0,8291969.0
147,2012-04-01,7668919,7385953.0,8291969.0,7335382.0,7136280.0,7541852.666666667,7500621.666666667,7375921.833333333,484700.27656387765,3983165.605442177,1575934.2887251389,2109035.0,8291969.0
148,2012-05-01,7425276,7668919.0,6947636.0,7204116.0,6901713.0,7334169.333333333,7556211.166666667,7420308.416666667,481071.8200873959,4008069.3445945946,1599519.5832146197,2109035.0,8291969.0
149,2012-06-01,7362956,7425276.0,7385953.0,7838674.0,6623006.0,7493382.666666667,7593071.166666667,7463938.666666667,456546.06214291236,4031003.6174496645,1618501.5092540055,2109035.0,8291969.0
150,2012-07-01,8779953,7362956.0,7668919.0,8291969.0,7985229.0,7485717.0,7513784.833333333,7525601.166666667,446561.4933150859,4053216.6333333333,1635841.9830156604,2109035.0,8291969.0
151,2012-08-01,7963773,8779953.0,7425276.0,6947636.0,7516754.0,7856061.666666667,7595115.5,7591828.166666667,625301.3675893676,4084519.523178808,1675141.6779648808,2109035.0,8779953.0
