,year_month,passengers,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
122,2010-03-01,392940,379711.0,559693.0,495240.0,490084.0,464398.0,494381.0,493470.8333333333,68294.52138495438,431100.5983606557,70237.15725773125,253080.0,589624.0
123,2010-04-01,372850,392940.0,453790.0,550946.0,510904.0,408813.6666666667,477331.0,485375.5,79832.36418395734,430790.34959349595,70033.284908898,253080.0,589624.0
124,2010-05-01,398151,372850.0,379711.0,526906.0,469908.0,381833.6666666667,447648.3333333333,473871.0,80095.91598743765,430323.0887096774,69941.82555129191,253080.0,589624.0
125,2010-06-01,403044,398151.0,392940.0,559693.0,530146.0,387980.3333333333,426189.1666666667,467891.25,71389.09169730818,430065.712,69718.64049368257,253080.0,589624.0
126,2010-07-01,465787,403044.0,372850.0,453790.0,485793.0,391348.3333333333,400081.0,457299.4166666667,28651.768154862853,429851.25396825396,69480.92072503778,253080.0,589624.0
127,2010-08-01,460612,465787.0,398151.0,379711.0,468529.0,422327.3333333333,402080.5,455632.25,33206.182693890194,430134.2125984252,69278.08023965833,253080.0,589624.0
128,2010-09-01,459109,460612.0,403044.0,392940.0,495240.0,443147.6666666667,415564.0,454972.5,38335.27402797599,430372.3203125,69057.35611930079,253080.0,589624.0
129,2010-10-01,465232,459109.0,465787.0,372850.0,550946.0,461836.0,426592.1666666667,451961.5833333333,40006.41214313871,430595.0852713178,68833.58761671503,253080.0,589624.0
130,2010-11-01,423848,465232.0,460612.0,398151.0,526906.0,461651.0,441989.1666666667,444818.75,32202.408763424442,430861.5230769231,68633.53552653073,253080.0,589624.0
131,2010-12-01,437067,423848.0,459109.0,403044.0,559693.0,449396.3333333333,446272.0,436230.5833333333,26390.288948778274,430807.98473282444,68371.79679843085,253080.0,589624.0
132,2011-01-01,495819,437067.0,465232.0,465787.0,453790.0,442049.0,451942.5,426011.75,17351.54963396664,430855.4015151515,68112.51446803418,253080.0,589624.0
133,2011-02-01,414000,495819.0,423848.0,460612.0,379711.0,452244.6666666667,456947.8333333333,429514.1666666667,24853.725172832204,431343.84962406015,68087.44121387566,253080.0,589624.0
134,2011-03-01,463078,414000.0,437067.0,459109.0,392940.0,448962.0,449179.1666666667,432371.5833333333,30191.10946895915,431214.41791044775,67847.53574653002,253080.0,589624.0
135,2011-04-01,623749,463078.0,495819.0,465232.0,372850.0,457632.3333333333,449840.6666666667,438216.4166666667,30494.150059752028,431450.44444444444,67649.50747343258,253080.0,589624.0
136,2011-05-01,617628,623749.0,414000.0,423848.0,398151.0,500275.6666666667,476260.1666666667,459124.6666666667,78062.46385918568,432864.4044117647,69386.30014404633,253080.0,623749.0
137,2011-06-01,553556,617628.0,463078.0,437067.0,403044.0,568151.6666666666,508556.8333333333,477414.4166666667,91047.37485379062,434213.04379562044,70910.06753740847,253080.0,623749.0
138,2011-07-01,695109,553556.0,623749.0,495819.0,465787.0,598311.0,527971.6666666666,489957.0833333333,84971.33228252137,435077.847826087,71377.47181631668,253080.0,623749.0
139,2011-08-01,471225,695109.0,617628.0,414000.0,460612.0,622097.6666666666,561186.6666666666,509067.25,106190.69019394617,436948.5755395683,74459.87197540625,253080.0,695109.0
140,2011-09-01,469749,471225.0,553556.0,463078.0,459109.0,573296.6666666666,570724.1666666666,509951.6666666667,91940.97737878715,437193.40714285715,74248.08168419357,253080.0,695109.0
141,2011-10-01,475421,469749.0,695109.0,623749.0,465232.0,545361.0,571836.0,510838.3333333333,90406.40093710172,437424.2978723404,74033.2184581204,253080.0,695109.0
142,2011-11-01,451075,475421.0,471225.0,617628.0,423848.0,472131.6666666667,547114.6666666666,511687.4166666667,93595.52700565696,437691.88028169016,73839.10162989788,253080.0,695109.0
143,2011-12-01,464194,451075.0,469749.0,553556.0,437067.0,465415.0,519355.8333333333,513956.3333333333,93197.40747985785,437785.46853146853,73587.15626086268,253080.0,695109.0
144,2012-01-01,507641,464194.0,475421.0,695109.0,495819.0,463563.3333333333,504462.1666666667,516216.9166666667,93777.43056922955,437968.8611111111,73362.42277845403,253080.0,695109.0
145,2012-02-01,445749,507641.0,451075.0,471225.0,414000.0,474303.3333333333,473217.5,517202.0833333333,18854.957817508053,438449.35862068966,73335.85106972235,253080.0,695109.0
146,2012-03-01,446074,445749.0,464194.0,469749.0,463078.0,472528.0,468971.5,519847.8333333333,21999.65686777885,438499.3561643836,73085.0281995864,253080.0,695109.0
147,2012-04-01,456541,446074.0,507641.0,475421.0,623749.0,466488.0,465025.6666666667,518430.8333333333,23875.50170083713,438550.8843537415,72836.98632492624,253080.0,695109.0
148,2012-05-01,466096,456541.0,445749.0,451075.0,617628.0,449454.6666666667,461879.0,504496.8333333333,23472.1769505943,438672.4391891892,72603.87996333922,253080.0,695109.0
149,2012-06-01,462728,466096.0,446074.0,464194.0,553556.0,456237.0,464382.5,491869.1666666667,22883.037619599592,438856.4899328859,72393.04982240646,253080.0,695109.0
150,2012-07-01,525128,462728.0,456541.0,507641.0,695109.0,461788.3333333333,464138.1666666667,484300.1666666667,22893.277174023755,439015.63333333336,72176.03350491238,253080.0,695109.0
151,2012-08-01,485027,525128.0,466096.0,445749.0,471225.0,484650.6666666667,467052.6666666667,470135.0833333333,29654.032101329434,439585.9139072848,72275.57556767849,253080.0,695109.0
152,2012-09-01,484259,485027.0,462728.0,446074.0,469749.0,490961.0,473599.0,471285.25,28315.761208203618,439884.86842105264,72130.08534683369,253080.0,695109.0
153,2012-10-01,469191,484259.0,525128.0,456541.0,475421.0,498138.0,479963.1666666667,472494.4166666667,24987.620674379436,440174.8954248366,71981.87476949385,253080.0,695109.0
154,2012-11-01,420221,469191.0,485027.0,466096.0,451075.0,479492.3333333333,482071.5,471975.25,23076.729410815726,440363.3116883117,71784.34443029924,253080.0,695109.0
155,2012-12-01,451450,420221.0,484259.0,462728.0,464194.0,457890.3333333333,474425.6666666667,469404.0833333333,34299.24881781926,440233.36129032256,71569.18763693966,253080.0,695109.0
156,2013-01-01,520433,451450.0,469191.0,525128.0,507641.0,446954.0,472546.0,468342.0833333333,35361.10665689083,440305.2628205128,71343.59811767023,253080.0,695109.0
157,2013-02-01,440285,520433.0,420221.0,485027.0,445749.0,464034.6666666667,471763.5,469408.0833333333,33990.18542903244,440815.63057324843,71401.51247547718,253080.0,695109.0
158,2013-03-01,501363,440285.0,451450.0,484259.0,446074.0,470722.6666666667,464306.5,468952.75,35377.95348377305,440812.2721518987,71173.76839377917,253080.0,695109.0
159,2013-04-01,471197,501363.0,520433.0,469191.0,456541.0,487360.3333333333,467157.1666666667,473560.1666666667,37905.994504387774,441193.09433962265,71110.49811401048,253080.0,695109.0
160,2013-05-01,481868,471197.0,440285.0,420221.0,466096.0,470948.3333333333,467491.5,474781.5,37936.355121440036,441380.61875,70926.2027996938,253080.0,695109.0
161,2013-06-01,462694,481868.0,501363.0,451450.0,462728.0,484809.3333333333,477766.0,476095.8333333333,30115.20107852524,441632.09316770185,70776.17533594914,253080.0,695109.0
162,2013-07-01,538794,462694.0,471197.0,520433.0,525128.0,471919.6666666667,479640.0,476093.0,28454.134153054234,441762.10493827163,70575.43362521008,253080.0,695109.0
163,2013-08-01,501781,538794.0,481868.0,440285.0,485027.0,494452.0,482700.1666666667,477231.8333333333,34138.33006704741,442357.3926380368,70766.57035019313,253080.0,695109.0
164,2013-09-01,504237,501781.0,462694.0,501363.0,484259.0,501089.6666666667,492949.5,478628.0,27429.424833561585,442719.73170731706,70701.59556152874,253080.0,695109.0
165,2013-10-01,524287,504237.0,538794.0,471197.0,469191.0,514937.3333333333,493428.5,480292.8333333333,27630.095046886916,443092.56363636366,70648.22179992468,253080.0,695109.0
166,2013-11-01,492862,524287.0,501781.0,481868.0,420221.0,510101.6666666667,502276.8333333333,484884.1666666667,27587.534050122544,443581.686746988,70715.17373296268,253080.0,695109.0
167,2013-12-01,520936,492862.0,504237.0,462694.0,451450.0,507128.6666666667,504109.1666666667,490937.5833333333,26295.756733105638,443876.7784431138,70604.91268518036,253080.0,695109.0
168,2014-01-01,537894,520936.0,524287.0,538794.0,520433.0,512695.0,513816.1666666667,496728.0833333333,17087.45333180665,444335.46428571426,70643.8181890112,253080.0,695109.0
169,2014-02-01,475615,537894.0,492862.0,501781.0,440285.0,517230.6666666667,513666.1666666667,498183.1666666667,16826.290184311878,444889.0650887574,70799.98220146584,253080.0,695109.0
