,year_month,cargo,lag_1,lag_3,lag_6,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_6,exp_mean,exp_std,exp_min,exp_max
209,2017-06-01,19850307.0,18469798.0,18879314.0,18724624.0,13600604.0,17484984.666666668,17280273.333333332,16162343.0,1622640.745180264,12662565.67464115,4268906.92540062,34056.0,21342520.0
210,2017-07-01,20073306.0,19850307.0,15105842.0,15890521.0,14038974.0,17808649.0,17467887.166666668,16683151.583333334,1869360.6092109322,12696793.014285713,4287468.892487033,34056.0,21342520.0
211,2017-08-01,20159698.0,20073306.0,18469798.0,16611541.0,13342383.0,19464470.333333332,18165018.0,17186012.583333332,1941994.8669853169,12731752.791469194,4307288.656022616,34056.0,21342520.0
212,2017-09-01,19322611.0,20159698.0,19850307.0,18879314.0,14603346.0,20027770.333333332,18756377.5,17754122.166666668,1914363.6791590136,12766790.268867925,4327246.742670411,34056.0,21342520.0
213,2017-10-01,21838967.0,19322611.0,20073306.0,15105842.0,17016824.0,19851871.666666668,18830260.333333332,18147394.25,1928558.8627541556,12797568.769953052,4340336.039075701,34056.0,21342520.0
214,2017-11-01,19521946.0,21838967.0,20159698.0,18469798.0,17664345.0,20440425.333333332,19952447.833333332,18549239.5,1115517.064770919,12839818.294392524,4374021.943946035,34056.0,21838967.0
215,2017-12-01,22566007.0,19521946.0,19322611.0,19850307.0,18724624.0,20227841.333333332,20127805.833333332,18704039.583333332,897158.8867320718,12870897.958139535,4387521.402975573,34056.0,21838967.0
216,2018-01-01,20398421.0,22566007.0,21838967.0,20073306.0,15890521.0,21308973.333333332,20580422.5,19024154.833333332,1316291.6534855308,12915782.722222222,4426733.588060306,34056.0,22566007.0
217,2018-02-01,20597478.0,20398421.0,19521946.0,20159698.0,16611541.0,20828791.333333332,20634608.333333332,19399813.166666668,1297802.7091514487,12950264.926267281,4445589.5036559,34056.0,22566007.0
218,2018-03-01,24884731.0,20597478.0,22566007.0,19322611.0,18879314.0,21187302.0,20707571.666666668,19731974.583333332,1277916.7663258987,12985343.885321101,4465472.802584079,34056.0,22566007.0
219,2018-04-01,25164204.0,24884731.0,20398421.0,21838967.0,15105842.0,21960210.0,21634591.666666668,20232426.0,1925601.4059884914,13039678.98630137,4527199.113041328,34056.0,24884731.0
220,2018-05-01,24398099.0,25164204.0,20597478.0,19521946.0,18469798.0,23548804.333333332,22188797.833333332,21070622.833333332,2413015.9953651284,13094790.463636363,4590222.804110298,34056.0,25164204.0
221,2018-06-01,23343360.0,24398099.0,24884731.0,22566007.0,19850307.0,24815678.0,23001490.0,21564647.916666668,2140996.616856412,13145936.656108597,4642466.283906163,34056.0,25164204.0
222,2018-07-01,82703.0,23343360.0,25164204.0,20398421.0,20073306.0,24301887.666666668,23131048.833333332,21855735.666666668,2132878.3028009757,13191870.995495496,4682241.184337172,34056.0,25164204.0
223,2018-08-01,23846379.0,82703.0,24398099.0,20597478.0,20159698.0,15941387.333333334,19745095.833333332,20189852.083333332,9774628.113038037,13133085.488789238,4753446.919463096,34056.0,25164204.0
224,2018-09-01,23757456.0,23846379.0,23343360.0,24884731.0,19322611.0,15757480.666666666,20286579.333333332,20497075.5,9920196.72901164,13180912.691964285,4796490.431180203,34056.0,25164204.0
225,2018-10-01,25720194.0,23757456.0,82703.0,25164204.0,21838967.0,15895512.666666666,20098700.166666668,20866645.916666668,9825921.944625895,13227919.551111111,4837435.6585067455,34056.0,25164204.0
226,2018-11-01,24097927.0,25720194.0,23846379.0,24398099.0,19521946.0,24441343.0,20191365.166666668,21190081.5,9885687.16204133,13283195.101769911,4897682.882343608,34056.0,25720194.0
227,2018-12-01,23466270.0,24097927.0,23757456.0,23343360.0,22566007.0,24525192.333333332,20141336.5,21571413.25,9860868.642639536,13330837.092511013,4939270.643317494,34056.0,25720194.0
228,2019-01-01,21984337.0,23466270.0,25720194.0,82703.0,20398421.0,24428130.333333332,20161821.5,21646435.166666668,9868975.249847155,13375290.745614035,4973879.612835979,34056.0,25720194.0
229,2019-02-01,22083727.0,21984337.0,24097927.0,23846379.0,20597478.0,23182844.666666668,23812093.833333332,21778594.833333332,1198915.908325862,13412884.834061135,4995460.055399735,34056.0,25720194.0
230,2019-03-01,22956262.0,22083727.0,23466270.0,23757456.0,24884731.0,22511444.666666668,23518318.5,21902448.916666668,1389622.2173847666,13450584.147826087,5017223.716328453,34056.0,25720194.0
231,2019-04-01,18944972.0,22956262.0,21984337.0,25720194.0,25164204.0,22341442.0,23384786.166666668,21741743.166666668,1400498.839432586,13491734.268398268,5045220.293526332,34056.0,25720194.0
232,2019-05-01,19173802.0,18944972.0,22083727.0,24097927.0,24398099.0,21328320.333333332,22255582.5,21223473.833333332,1811860.897415621,13515239.603448275,5047002.718568379,34056.0,25720194.0
233,2019-06-01,17177690.0,19173802.0,22956262.0,23466270.0,23343360.0,20358345.333333332,21434895.0,20788115.75,1922299.1190489142,13539525.278969957,5049739.035725204,34056.0,25720194.0
234,2019-07-01,16747781.0,17177690.0,18944972.0,21984337.0,82703.0,18432154.666666668,20386798.333333332,20274309.916666668,2275189.6536690933,13555072.991452992,5044500.767188846,34056.0,25720194.0
235,2019-08-01,18387611.0,16747781.0,19173802.0,22083727.0,23846379.0,17699757.666666668,19514039.0,21663066.416666668,2529921.1069951197,13568658.982978724,5038017.098243446,34056.0,25720194.0
